model_name,folder_name,model_dir_exists,layout,resolved_path,config_exists,main_weight_file,main_classifier_keys,sidecar_file,sidecar_classifier_keys,label_encoder_found,tokenizer_loaded,load_ok,missing_classifier_on_load,missing_keys,error
1_baseline,bert_9classes_final,True,hf_root,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_9classes_final,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_9classes_final/model.safetensors,"classifier.bias, classifier.weight",,,True,True,True,False,,
2_groupdro,bert_gdro_eta01_2ep,True,hf_root,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_gdro_eta01_2ep,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_gdro_eta01_2ep/model.safetensors,"classifier.bias, classifier.weight",,,True,True,True,False,,
3_scrubbing,bert_scrubbing,True,hf_root,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_scrubbing,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_scrubbing/model.safetensors,"classifier.bias, classifier.weight",,,True,True,True,False,,
4_oversampling,bert_oversample_only,True,hf_root,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_oversample_only,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_oversample_only/model.safetensors,"classifier.bias, classifier.weight",,,True,True,True,False,,
5_focal_loss,bert_focal_loss,True,hf_root,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_focal_loss,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_focal_loss/model.safetensors,"classifier.bias, classifier.weight",,,True,True,True,False,,
6_adversarial,bert_adversarial,True,split_bert,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_adversarial,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_adversarial/bert/model.safetensors,,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_adversarial/classifier.pt,,True,True,True,True,"classifier.weight, classifier.bias",
7_label_smoothing,bert_label_smoothing,True,hf_root,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_label_smoothing,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_label_smoothing/model.safetensors,"classifier.bias, classifier.weight",,,True,True,True,False,,
8_attribution_reg,bert_attr_reg,True,split_bert,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_attr_reg,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_attr_reg/bert/model.safetensors,,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_attr_reg/classifier.pt,,True,True,True,True,"classifier.weight, classifier.bias",
9_combined_scrub_gdro,bert_debiased_combo,True,hf_root,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_debiased_combo,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/bert_debiased_combo/model.safetensors,"classifier.bias, classifier.weight",,,True,True,True,False,,
10_combined_best,combined_scrubbing_groupdro,True,nested_hf,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/combined_scrubbing_groupdro/final,True,/Users/natashaagapova/Documents/A-INNOPOLIS/A-THESIS/my-repository/notebooks/models/combined_scrubbing_groupdro/final/model.safetensors,"classifier.bias, classifier.weight",,,True,True,True,False,,
